,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
1661645,"Nickel, Total",Columbia Basin Waterhub,1,Nickel Total
1662417,Nitrate,Columbia Basin Waterhub,2,Nitrate (NO3) Total
1988949,Nitrate,CABIN,2,Nitrate (NO3) Total
1661418,Nitrate (as N),Columbia Basin Waterhub,2,Nitrate (NO3) Total
204,Nitrate (NO3) Dissolved,Environmental Monitoring System,2,Nitrate (NO3) Dissolved
17,Nitrate(NO3) + Nitrite(NO2) Dissolved,Environmental Monitoring System,2,Nitrate(NO3) + Nitrite(NO2) Dissolved
1662068,"Nitrate, dissolved (as NO3)",Columbia Basin Waterhub,2,Nitrate (NO3) Dissolved
1662435,Nitrate+Nitrite,Columbia Basin Waterhub,2,Nitrate(NO3) + Nitrite(NO2) Dissolved
1661328,Nitrate+Nitrite (as N),Columbia Basin Waterhub,2,Nitrate(NO3) + Nitrite(NO2) Dissolved
1988917,Nitrite,CABIN,2,Nitrite Dissolved
1662414,Nitrite,Columbia Basin Waterhub,2,Nitrite (NO2) Total
1661324,Nitrite (as N),Columbia Basin Waterhub,2,Nitrite (NO2) Total
1662014,"Nitrite, dissolved (as NO2)",Columbia Basin Waterhub,2,Nitrite (NO2) Total
1662598,Nitrogen,Columbia Basin Waterhub,2,Nitrogen Total
205,Nitrogen - Nitrite Dissolved (NO2),Environmental Monitoring System,2,Nitrite (NO2) Dissolved
151,Nitrogen Ammonia Dissolved,Environmental Monitoring System,2,Nitrogen Ammonia Dissolved
126,Nitrogen Ammonia Total,Environmental Monitoring System,2,Nitrogen Ammonia Total
417,Nitrogen NO2 Total,Environmental Monitoring System,2,Nitrite (NO2) Total
1025,Nitrogen NO3 Total,Environmental Monitoring System,2,Nitrate (NO3) Total
89,Nitrogen Organic Total Dissolved,Environmental Monitoring System,2,Nitrogen Organic Total Dissolved
183,Nitrogen Organic-Total,Environmental Monitoring System,2,Nitrogen Organic-Total
54,Nitrogen Total,Environmental Monitoring System,2,Nitrogen Total
62,Nitrogen Total Dissolved,Environmental Monitoring System,2,Nitrogen Total Dissolved
1661329,"Nitrogen, Total",Columbia Basin Waterhub,2,Nitrogen Total
1988937,Nitrogen-Nitrate+Nitrite,CABIN,2,Nitrate(NO3) + Nitrite(NO2) Total
